Ano,Município,Aparelho de Pesca,Pescado,kg no Período,nº de descargas do período
2009,Navegantes,Arrasto duplo,Calamar-argentino,"22.057,00",21
2009,Navegantes,Arrasto duplo,Camarão-barba-ruça,"3.815.657,20",334
2009,Navegantes,Arrasto duplo,Camarão-branco,"28.254,00",78
2009,Navegantes,Arrasto duplo,Camarão-cristalino,"44.231,80",38
2009,Navegantes,Arrasto duplo,Camarão-rosa,"355.856,70",226
2009,Navegantes,Arrasto duplo,Camarão-santana,"788.027,00",301
2009,Navegantes,Arrasto duplo,Camarão-santana + barba-ruca,"191.514,00",10
2009,Navegantes,Arrasto duplo,Camarão-sete-barbas,"1.009.930,00",125
2009,Navegantes,Arrasto duplo,Castanha,"90.457,00",92
2009,Navegantes,Arrasto duplo,Cherne,"67,00",3
2009,Navegantes,Arrasto duplo,Congro,"12.968,00",21
2009,Navegantes,Arrasto duplo,Congro-rosa,"121.318,00",116
2009,Navegantes,Arrasto duplo,Corvina,"99.475,00",100
2009,Navegantes,Arrasto duplo,Emplastro,"240.760,00",219
2009,Navegantes,Arrasto duplo,Enchova,"220,00",3
2009,Navegantes,Arrasto duplo,Enguia,"9.758,00",56
2009,Navegantes,Arrasto duplo,Espada,"5.540,00",36
2009,Navegantes,Arrasto duplo,Ferrinho,"20.770,00",26
2009,Navegantes,Arrasto duplo,Galo,"1.220,00",2
2009,Navegantes,Arrasto duplo,Galo-de-profundidade,"18.180,00",23
2009,Navegantes,Arrasto duplo,Goete,"13.546,00",56
2009,Navegantes,Arrasto duplo,Gordinho,"5.842,00",33
2009,Navegantes,Arrasto duplo,Guaivira,"7.180,00",7
2009,Navegantes,Arrasto duplo,Linguado,"319.657,00",148
2009,Navegantes,Arrasto duplo,Linguado-areia,"240.260,00",155
2009,Navegantes,Arrasto duplo,Linguado-vermelho,"4.487,00",22
2009,Navegantes,Arrasto duplo,Lula,"77.804,00",41
2009,Navegantes,Arrasto duplo,Mangangá,"26.300,00",25
2009,Navegantes,Arrasto duplo,Maria-luiza,"61.380,00",37
2009,Navegantes,Arrasto duplo,Maria-mole,"101.069,00",106
2009,Navegantes,Arrasto duplo,Merluza,"999.995,00",183
2009,Navegantes,Arrasto duplo,Mistura,"962.781,90",468
2009,Navegantes,Arrasto duplo,Namorado,"1.845,00",26
2009,Navegantes,Arrasto duplo,Palombeta,"920,00",4
2009,Navegantes,Arrasto duplo,Papa-moscas,"20,00",1
2009,Navegantes,Arrasto duplo,Pargo-rosa,"1.128,00",6
2009,Navegantes,Arrasto duplo,Peixe-porco,"64.113,00",46
2009,Navegantes,Arrasto duplo,Peixe-sapo,"293.822,70",168
2009,Navegantes,Arrasto duplo,Pescada,"10.745,00",26
2009,Navegantes,Arrasto duplo,Pescada-amarela,"5.815,00",9
2009,Navegantes,Arrasto duplo,Pescada-bicuda,"20,00",1
2009,Navegantes,Arrasto duplo,Pescada-branca,"500,00",1
2009,Navegantes,Arrasto duplo,Pescadinha-real,"50.065,00",54
2009,Navegantes,Arrasto duplo,Pitú,"85.611,80",92
2009,Navegantes,Arrasto duplo,Polvo,"51.305,60",135
2009,Navegantes,Arrasto duplo,Raia,"17.708,00",56
2009,Navegantes,Arrasto duplo,Raia-viola,"494,00",6
2009,Navegantes,Arrasto duplo,Residuo,"60,00",1
2009,Navegantes,Arrasto duplo,Roncador,"20,00",1
2009,Navegantes,Arrasto duplo,Sapateira,"5.343,00",32
2009,Navegantes,Arrasto duplo,Sarrão,"21.850,00",14
2009,Navegantes,Arrasto duplo,Tira-vira,"85.975,00",106
2009,Navegantes,Arrasto duplo,Trilha,"27.328,00",87
2009,Navegantes,Arrasto duplo,Vieira,"320,00",2
2009,Navegantes,Arrasto simples,Abrótea,"34.705,00",47
2009,Navegantes,Arrasto simples,Abrótea-de-fundo,"5.620,00",15
2009,Navegantes,Arrasto simples,Bagre,"560,00",4
2009,Navegantes,Arrasto simples,Batata,"170,00",2
2009,Navegantes,Arrasto simples,Betara,"2.280,00",8
2009,Navegantes,Arrasto simples,Cabra,"913.245,00",58
2009,Navegantes,Arrasto simples,Cação-anjo,"941,00",8
2009,Navegantes,Arrasto simples,Cação-gato,"620,00",1
2009,Navegantes,Arrasto simples,Caçonete,"4.280,00",19
2009,Navegantes,Arrasto simples,Calamar-argentino,"580,00",1
2009,Navegantes,Arrasto simples,Castanha,"1.376.447,00",69
2009,Navegantes,Arrasto simples,Cherne,"785,00",6
2009,Navegantes,Arrasto simples,Congro,"1.186,00",7
2009,Navegantes,Arrasto simples,Congro-rosa,"3.416,00",21
2009,Navegantes,Arrasto simples,Corcoroca,"560,00",2
2009,Navegantes,Arrasto simples,Corvina,"42.720,00",43
2009,Navegantes,Arrasto simples,Emplastro,"154.882,00",52
2009,Navegantes,Arrasto simples,Enchova,"163,00",2
2009,Navegantes,Arrasto simples,Enguia,"720,00",9
2009,Navegantes,Arrasto simples,Espada,"10.240,00",36
2009,Navegantes,Arrasto simples,Ferrinho,"600,00",1
2009,Navegantes,Arrasto simples,Galo,"460,00",2
2009,Navegantes,Arrasto simples,Galo-de-profundidade,"300,00",4
2009,Navegantes,Arrasto simples,Goete,"8.360,00",23
2009,Navegantes,Arrasto simples,Gordinho,"960,00",11
2009,Navegantes,Arrasto simples,Guaivira,"780,00",6
2009,Navegantes,Arrasto simples,Linguado,"27.521,00",35
2009,Navegantes,Arrasto simples,Linguado-areia,"86.280,00",43
2009,Navegantes,Arrasto simples,Lula,"42.808,00",12
2009,Navegantes,Arrasto simples,Maria-luiza,"80,00",1
2009,Navegantes,Arrasto simples,Maria-mole,"149.525,00",57
2009,Navegantes,Arrasto simples,Merluza,"47.300,00",41
2009,Navegantes,Arrasto simples,Mistura,"47.217,00",59
2009,Navegantes,Arrasto simples,Namorado,"267,00",11
2009,Navegantes,Arrasto simples,Olho-de-cão,"200,00",1
2009,Navegantes,Arrasto simples,Palombeta,"600,00",5
2009,Navegantes,Arrasto simples,Pargo-rosa,"1.740,00",5
2009,Navegantes,Arrasto simples,Paru,"1.280,00",5
2009,Navegantes,Arrasto simples,Peixe-porco,"435,00",7
2009,Navegantes,Arrasto simples,Peixe-sapo,"16.279,00",43
2009,Navegantes,Arrasto simples,Pescada-bicuda,"140,00",3
2009,Navegantes,Arrasto simples,Pescadinha-real,"2.220,00",3
2009,Navegantes,Arrasto simples,Polvo,"1.381,00",29
2009,Navegantes,Arrasto simples,Raia,"4.162,00",25
2009,Navegantes,Arrasto simples,Raia-viola,"140,00",3
2009,Navegantes,Arrasto simples,Roncador,"160,00",1
2009,Navegantes,Arrasto simples,Sapateira,"186,00",8
2009,Navegantes,Arrasto simples,Tira-vira,"27.420,00",28
2009,Navegantes,Arrasto simples,Trilha,"7.375,00",26
2009,Porto Belo,Arrasto de parelha,Abrótea,"12.037,00",27
2009,Porto Belo,Arrasto de parelha,Aipim,"300,00",9
2009,Porto Belo,Arrasto de parelha,Bagre,"19.422,00",36
2009,Porto Belo,Arrasto de parelha,Batata-da-pedra,"50,00",1
2009,Porto Belo,Arrasto de parelha,Betara,"30.930,00",37
2009,Porto Belo,Arrasto de parelha,Cabra,"61.246,00",39
2009,Porto Belo,Arrasto de parelha,Cação-anjo,"1.686,00",9
2009,Porto Belo,Arrasto de parelha,Cação-cabeca-chata,"845,00",2
2009,Porto Belo,Arrasto de parelha,Cação-mangona,"88,00",1
2009,Porto Belo,Arrasto de parelha,Caçonete,"1.227,00",9
2009,Porto Belo,Arrasto de parelha,Carapeba,"39.270,00",17
2009,Porto Belo,Arrasto de parelha,Carapicu,"640,00",8
2009,Porto Belo,Arrasto de parelha,Castanha,"504.249,00",26
2009,Porto Belo,Arrasto de parelha,Corcoroca,"38.760,00",33
2009,Porto Belo,Arrasto de parelha,Corvina,"479.598,00",39
2009,Porto Belo,Arrasto de parelha,Emplastro,"12.380,00",26
2009,Porto Belo,Arrasto de parelha,Enchova,"7.037,00",28
2009,Porto Belo,Arrasto de parelha,Enguia,"2.340,00",10
2009,Porto Belo,Arrasto de parelha,Espada,"9.275,00",17
2009,Porto Belo,Arrasto de parelha,Galo,"11.910,00",22
2009,Porto Belo,Arrasto de parelha,Garoupa,"70,00",2
2009,Porto Belo,Arrasto de parelha,Goete,"455.830,00",38
2009,Porto Belo,Arrasto de parelha,Gordinho,"40.250,00",36
2009,Porto Belo,Arrasto de parelha,Guaivira,"10.390,00",21
2009,Porto Belo,Arrasto de parelha,Linguado,"13.766,00",28
2009,Porto Belo,Arrasto de parelha,Linguado-areia,"3.328,00",18
2009,Porto Belo,Arrasto de parelha,Linguado-vermelho,"704,00",8
2009,Porto Belo,Arrasto de parelha,Lula,"43.628,00",20
2009,Porto Belo,Arrasto de parelha,Mangangá,"10.140,00",12
2009,Porto Belo,Arrasto de parelha,Maria-luiza,"4.320,00",19
2009,Porto Belo,Arrasto de parelha,Maria-mole,"211.075,00",14
2009,Porto Belo,Arrasto de parelha,Marimbá,"860,00",3
2009,Porto Belo,Arrasto de parelha,Merluza,"2.340,00",10
2009,Porto Belo,Arrasto de parelha,Miracéu,"310,00",8
2009,Porto Belo,Arrasto de parelha,Mistura,"32.372,00",37
